match_id,league_id,season,date,home_team_id,away_team_id,home_score,away_score,status,referee,venue,bookmaker,home_odds,draw_odds,away_odds,event_date,home_team_name,away_team_name,player_id,team_id,name,age,nationality,position,height,weight,appearances,goals,assists,yellow_cards,red_cards,country,founded,logo,venue_name,venue_address,venue_city,venue_capacity
831244,113.0,2022.0,2022-04-02,367.0,377.0,4.0,2.0,FT,A. Ekberg,Bravida Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831245,113.0,2022.0,2022-04-04,364.0,2172.0,3.0,1.0,FT,B. Pandzic,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831246,113.0,2022.0,2022-04-02,363.0,811.0,2.0,1.0,FT,A. Ladebäck,Tele2 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831247,113.0,2022.0,2022-04-04,372.0,2240.0,0.0,2.0,FT,K. Sjöberg,Borås Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831248,113.0,2022.0,2022-04-03,366.0,2163.0,2.0,1.0,FT,K. Karlsson,Gamla Ullevi,,,,,,,,,,,,,,,,,,,,,,,,,,,
831249,113.0,2022.0,2022-04-03,378.0,2171.0,0.0,1.0,FT,M. Al Hakim,PlatinumCars Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831250,113.0,2022.0,2022-04-03,370.0,373.0,2.0,1.0,FT,F. Klitte,Studenternas IP,,,,,,,,,,,,,,,,,,,,,,,,,,,
831251,113.0,2022.0,2022-04-03,374.0,375.0,0.0,1.0,FT,G. Nyberg,Guldfågeln Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831252,113.0,2022.0,2022-04-10,377.0,378.0,1.0,0.0,FT,K. Karlsson,Friends Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831253,113.0,2022.0,2022-04-09,2172.0,367.0,1.0,2.0,FT,A. Ladebäck,Behrn Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831254,113.0,2022.0,2022-04-10,811.0,366.0,0.0,1.0,FT,V. Wolf,Olympia,,,,,,,,,,,,,,,,,,,,,,,,,,,
831255,113.0,2022.0,2022-04-11,2163.0,370.0,0.0,0.0,FT,J. Östling,Finnvedsvallen,,,,,,,,,,,,,,,,,,,,,,,,,,,
831256,113.0,2022.0,2022-04-11,375.0,372.0,1.0,1.0,FT,F. Klitte,Eleda Stadion,,,,,,,,,,,,,,,,,,,,,,,,,,,
831257,113.0,2022.0,2022-04-10,2240.0,364.0,1.0,0.0,FT,A. Ekberg,Strandvallen,,,,,,,,,,,,,,,,,,,,,,,,,,,
831258,113.0,2022.0,2022-04-09,373.0,363.0,1.0,5.0,FT,M. Al Hakim,NP3 Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
831259,113.0,2022.0,2022-04-10,2171.0,374.0,0.0,3.0,FT,G. Maqedonci,Varberg Energi Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,
